Proj_Award,Proj_Funding_Country,Proj_Funding_Agency,Proj_Program_Code,Proj_Start_Year,Proj_End_Year,Proj_Title,Proj_AON,Proj_Initiative,Proj_Discipline,Proj_Institution,Proj_Contact_Name,Proj_Contact_Email,Proj_Contact_Phone,Proj_Contact_Role,Proj_Page_Link,Proj_Metadata_Link,Site_Name,Site_ID_AOV,Site_ID_Alt1,Site_ID_Alt2,Site_Country,Site_Place,Site_Lat,Site_Long,Site_Accuracy,Site_Depth,Site_Elevation,Site_Start_Year,Site_End_Year,Site_Start_Date,Site_End_Date,Site_Type,Site_GCMD_Science,Site_GCMD_Platform,Site_GCMD_Instrument,Data_Page_Link1,Data_Page_Link2,Data_Metadata_Link,db_Metadata_Sources,db_Metadata_Wrangler,db_Date_Created,db_Date_Export,db_Date_Modified,db_Notes,Site_Name_IDs,Site_Lat_Long,Site_Location_Country,Site_Abstract,Site_ID_BAID
1914081,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Kobuk, West Alaska",66.9,-156.88,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1914081,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Kotzebue, West Alaska",66.89,-162.6,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1917434,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Minto, Interior Alaska",64.88,-149.17,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1917469,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Nenana, Interior Alaska",64.56,-149.09,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1917469,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Noatak, Arctic Alaska",67.57,-162.97,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1927563,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2023,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Nome, West Alaska",64.52,-165.42,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1927708,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Nuiqsut, Arctic Alaska",70.22,-150.97,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928078,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Shageluk, West Alaska",62.68,-159.57,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928078,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Shishmaref, West Alaska",66.25,-166.07,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928078,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Stevens Village, Interior Alaska",66.01,-149.08,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928189,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Toolik, Arctic Alaska",68.62,-149.59,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928189,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Unalakleet, West Alaska",63.87,-160.8,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928259,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Venetie, Interior Alaska",67.01,-146.41,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1945924,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2022,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Wales, West Alaska",65.6,-168.1,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928189,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NSF Office of Polar Programs UV Spectral Irradiance Monitoring Network (UVSIMN),,,Meteorology and Climate,,"Bernhard, Germar",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 0907819,,Logistics Base,,,,United States of America,"Utqiagvik (Barrow), Arctic Alaska",71.29,-156.77,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1753389,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2022,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,Y,,Biology,,"Boelman, Natalie",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839198,,Logistics Base,,,,Canada,"Dawson, Yukon Territory Canada",64.04,-139.41,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1753389,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2022,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,Y,,Biology,,"Boelman, Natalie",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839198,,Logistics Base,,,,Canada,"Inuvik, Northwest Territories Canada",68.36,-133.7,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1836523,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,Y,,Biology,,"Boelman, Natalie",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839198,,Logistics Base,,,,United States of America,"Arctic National Wildlife Refuge, Interior Alaska",68.75,-144.5,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928078,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,,,Biology,,"Boelman, Natalie",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839198,,Logistics Base,,,,United States of America,"Prudhoe Bay, Arctic Alaska",70.28,-148.67,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928189,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,,,Biology,,"Boelman, Natalie",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839198,,Logistics Base,,,,United States of America,"Toolik, Arctic Alaska",68.62,-149.59,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928126,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Collaborative Research: Interactions of the Microbial Iron and Methane Cycles in the Tundra Ecosystem,,,Biology,,"Bowden, Breck (William)",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1754379,,Logistics Base,,,,United States of America,"Toolik, Arctic Alaska",68.62,-149.59,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928126,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,"IPY: Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape at Flagship Observatories and in a PanArctic Network",,,Biology,,"Bret-Harte, Syndonia",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 0632264,,Logistics Base,,,,United States of America,"Toolik, Arctic Alaska",68.62,-149.59,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1753389,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2022,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,Y,,Biology,,"Brinkman, Todd",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839192,,Logistics Base,,,,Canada,"Dawson, Yukon Territory Canada",64.04,-139.41,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1753389,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2022,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,Y,,Biology,,"Brinkman, Todd",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839192,,Logistics Base,,,,Canada,"Inuvik, Northwest Territories Canada",68.36,-133.7,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1836523,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,Y,,Biology,,"Brinkman, Todd",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839192,,Logistics Base,,,,United States of America,"Arctic National Wildlife Refuge, Interior Alaska",68.75,-144.5,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928007,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2020,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,,,Biology,,"Brinkman, Todd",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839192,,Logistics Base,,,,United States of America,"Prudhoe Bay, Arctic Alaska",70.28,-148.67,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928189,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,Collaborative Research: Navigating the New Arctic (NNA): Soundscape ecology to assess environmental and anthropogenic controls on wildlife behavior,,,Biology,,"Brinkman, Todd",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839192,,Logistics Base,,,,United States of America,"Toolik, Arctic Alaska",68.62,-149.59,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1702211,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2017,2022,"NNA: Collaborative Research: MSB-FRA: Peat Expansion in Arctic Tundra - Pattern, Process, and the Implication for the Carbon Cycle (TundraPEAT)",Y,,Cryosphere,,"Camill, Philip",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1802732,,Logistics Base,,,,Canada,"Cambridge Bay, Victoria Island, Nunavut Canada",69.1,-105.05,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1753389,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2022,"NNA: Collaborative Research: MSB-FRA: Peat Expansion in Arctic Tundra - Pattern, Process, and the Implication for the Carbon Cycle (TundraPEAT)",Y,,Cryosphere,,"Camill, Philip",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1802732,,Logistics Base,,,,Canada,"Iqaluit, Baffin Island, Nunavut Canada",63.75,-68.55,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1913962,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,"NNA: Collaborative Research: MSB-FRA: Peat Expansion in Arctic Tundra - Pattern, Process, and the Implication for the Carbon Cycle (TundraPEAT)",Y,,Cryosphere,,"Camill, Philip",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1802732,,Logistics Base,,,,United States of America,"Imnavait Creek, Arctic Alaska",68.61,-149.31,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1927838,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2023,"NNA: Collaborative Research: MSB-FRA: Peat Expansion in Arctic Tundra - Pattern, Process, and the Implication for the Carbon Cycle (TundraPEAT)",,,Cryosphere,,"Camill, Philip",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1802732,,Logistics Base,,,,United States of America,"Prudhoe Bay, Arctic Alaska",70.28,-148.67,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928146,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2023,"NNA: Collaborative Research: MSB-FRA: Peat Expansion in Arctic Tundra - Pattern, Process, and the Implication for the Carbon Cycle (TundraPEAT)",,,Cryosphere,,"Camill, Philip",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1802732,,Logistics Base,,,,United States of America,"Toolik, Arctic Alaska",68.62,-149.59,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1504381,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2016,2021,"NNA: Collaborative Research: Navigating the New Arctic; Advanced Technology for Persistent, Long-Range, Autonomous Under-Ice Observation",Y,,Instrument Development,,"Camilli, Richard",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839063,,Logistics Base,,,,,"Chukchi Sea, Arctic Ocean and Seas",69.12,-176.7,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928230,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,"NNA: Collaborative Research: Navigating the New Arctic; Advanced Technology for Persistent, Long-Range, Autonomous Under-Ice Observation",,,Instrument Development,,"Camilli, Richard",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1839063,,Logistics Base,,,,United States of America,"Utqiagvik (Barrow), Arctic Alaska",71.29,-156.77,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928078,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA Track 1: Pursuing Opportunities for Long-term Arctic Resilience for Infrastructure and Society (POLARIS),,,Data Management,,"Chi, Guangqing",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1927827,,Logistics Base,,,,United States of America,"Scammon Bay, West Alaska",61.84,-165.58,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1929275,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2021,NNA Track 1: Pursuing Opportunities for Long-term Arctic Resilience for Infrastructure and Society (POLARIS),,,Data Management,,"Chi, Guangqing",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1927827,,Logistics Base,,,,United States of America,"Wainwright, Arctic Alaska",70.64,-160.02,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1927713,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: RAPID: Atmospheric Measurements from Unmanned Aircraft during SODA - Deployment of miniFlux and Initial Data Analysis,,,Oceanography,,"de Boer, Gijs",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836423,,Logistics Base,,,,United States of America,"Oliktok Point, Arctic Alaska",70.49,-149.77,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1832238,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA Track 1: Collaborative Research: Opening Up and Crowding In:Dynamic Adaptation to Evolving Arctic Sea Ice Loss,Y,,Social and Human Sciences,,"Degai, Tatiana",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1928202,,Logistics Base,,,,Russia,"Chukotka, Russia",66.66,164.94,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1832238,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA Track 1: Collaborative Research: Opening Up and Crowding In:Dynamic Adaptation to Evolving Arctic Sea Ice Loss,Y,,Social and Human Sciences,,"Degai, Tatiana",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1928202,,Logistics Base,,,,Russia,"Kamchatka Peninsula, Russia",56,160,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1836377,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2018,2024,NNA Track 1: Collaborative Research: Opening Up and Crowding In:Dynamic Adaptation to Evolving Arctic Sea Ice Loss,Y,,Social and Human Sciences,,"Degai, Tatiana",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1928202,,Logistics Base,,,,Russia,"Pakhachi, Kamchatka Russia",60.56,169.05,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1902595,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA Track 1: Collaborative Research: Opening Up and Crowding In:Dynamic Adaptation to Evolving Arctic Sea Ice Loss,Y,,Social and Human Sciences,,"Degai, Tatiana",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1928202,,Logistics Base,,,,United States of America,"Gambell, West Alaska",63.77,-171.73,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1927708,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA Track 1: Collaborative Research: Opening Up and Crowding In:Dynamic Adaptation to Evolving Arctic Sea Ice Loss,,,Social and Human Sciences,,"Degai, Tatiana",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1928202,,Logistics Base,,,,United States of America,"Nome, West Alaska",64.52,-165.42,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1927722,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2020,NNA Track 1: Collaborative Research: Opening Up and Crowding In:Dynamic Adaptation to Evolving Arctic Sea Ice Loss,,,Social and Human Sciences,,"Degai, Tatiana",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1928202,,Logistics Base,,,,United States of America,"Point Hope, Arctic Alaska",68.34,-166.81,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928237,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA Track 1: Collaborative Research: Opening Up and Crowding In:Dynamic Adaptation to Evolving Arctic Sea Ice Loss,,,Social and Human Sciences,,"Degai, Tatiana",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1928202,,Logistics Base,,,,United States of America,"Utqiagvik (Barrow), Arctic Alaska",71.29,-156.77,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928126,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA: Collaborative Research: Interactions of the Microbial Iron and Methane Cycles in the Tundra Ecosystem,,,Biology,,"Emerson, David",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1754358,,Logistics Base,,,,United States of America,"Toolik, Arctic Alaska",68.62,-149.59,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
